Questions,Category,Replies,Day,Month,Year
"""Shop-rated"" stereo recommendations?",Workshop,9,22,12,2010
Resithane plus on table top,Finishing,14,22,12,2010
Old Miter Box,John White,2,21,12,2010
Which end mills should I buy?,Power Tools and Machinery,2,21,12,2010
Problem with Unisaw,Power Tools and Machinery,3,21,12,2010
how do you dispose of plywood scraps?,General Discussion,35,21,12,2010
Drill press chuck key,John White,5,21,12,2010
Wanted. Info on so called Tiger Wood.,Wood and Materials,10,21,12,2010
How to avoid burning wood,"Jigs, Fixtures, Tips & Tricks",9,21,12,2010
disinfecting a homemade breadboard,General Discussion,4,21,12,2010
Bandsaw starts/stops/starts/stops.....,Power Tools and Machinery,0,21,12,2010
Overhead rack for project lumber,John White,1,20,12,2010
Your Miter Saw Stand,John White,1,20,12,2010
"Delta 12"" Planer trouble",Power Tools and Machinery,3,20,12,2010
Traditional Oil and Varnich Finish,Finishing,5,19,12,2010
Jointing with a Planer Sled,General Discussion,17,19,12,2010
Lion trimmer (do I need one),Hand Tools,26,19,12,2010
tired old Powermatic #90 Lathe question,Power Tools and Machinery,9,18,12,2010
Hand Planes?,Hand Tools,3,18,12,2010
How Do You Like Your Bubinga ?,General Discussion,2,18,12,2010
"Plan details seem to be missing from ""Bookcase Makes Waves"" by C Michael Vogt",Project Plans/CAD Software,1,18,12,2010
Question unrelated to woodworking...,General Discussion,8,18,12,2010
Choosing a Planer,Workshop,8,18,12,2010
Got any scraps?,General Discussion,1,17,12,2010
Ski Building!! Radius Jig for shaper!,"Jigs, Fixtures, Tips & Tricks",1,17,12,2010
Forstner Maxicut versus Bormax,Turning and Carving,2,17,12,2010
Rating of Lowes $599 Porter-Cable table saw,Power Tools and Machinery,7,17,12,2010
First refinishing project,Finishing,15,16,12,2010
A sign of the times,General Discussion,4,16,12,2010
Work sharp sanding discs,General Discussion,3,16,12,2010
reciprocating bandsaw blades,Power Tools and Machinery,5,15,12,2010
Best router tabletop,General Discussion,8,15,12,2010
radial saw blade use,Power Tools and Machinery,4,15,12,2010
Unisaw 36-812,Power Tools and Machinery,4,15,12,2010
Does this look dumb?,General Discussion,30,15,12,2010
Ripping soft maple,General Discussion,4,15,12,2010
LN or LV Skew Block Plane?,Hand Tools,8,14,12,2010
the woodwrights shop,General Discussion,5,14,12,2010
Hinging compound curved doors.,General Discussion,13,14,12,2010
Woodshop floor finish,Finishing,3,13,12,2010
Lubricant with Abralon??,Finishing,6,13,12,2010
How to run 110v 60hz machines on 220v 50hz,Power Tools and Machinery,7,13,12,2010
delta contractor saw riving knife????,Power Tools and Machinery,4,13,12,2010
woodworking school input?,New To Woodworking,6,13,12,2010
FWW Archive Search Mess,General Discussion,4,13,12,2010
Powering the shop,Workshop,14,12,12,2010
1 base frame or 2?,General Discussion,1,12,12,2010
radiant heating,Workshop,3,12,12,2010
Josh Finn 'workbench' solution,General Discussion,7,12,12,2010
Minimax MM16 vs Laguna HD16,Power Tools and Machinery,27,12,12,2010
no.5 vs. no.62 lie nielsen jack planes which is beter?,Hand Tools,9,12,12,2010
how to make hand dados?,New To Woodworking,9,12,12,2010
Vacuum Presses,Power Tools and Machinery,7,12,12,2010
Self Leveling Resins,General Discussion,1,12,12,2010
My views on the article regarding Tablesaw Injury Leads to $1.5 million jury award,General Discussion,2,12,12,2010
Blum hinge question,General Discussion,2,11,12,2010
"Trying to stain maple, need help",Finishing,4,11,12,2010
live oak good for furniture?,Wood and Materials,3,11,12,2010
Importance of Chip Breaker for Hand Planes,John White,6,11,12,2010
How to sand router burn from concave surface?,New To Woodworking,5,11,12,2010
Getting Started Workbench - Wrong Dimensions?,New To Woodworking,11,11,12,2010
Split Hands,General Discussion,16,10,12,2010
Got logs how to saw?,Wood and Materials,8,10,12,2010
Attaching mesh to wood,John White,8,10,12,2010
New Jointer Purchase,Power Tools and Machinery,5,10,12,2010
"Debunking ""modern central heating problems""",General Discussion,4,10,12,2010
Finish for cherry bookshelves,Finishing,6,10,12,2010
This may be a dumb question,Hand Tools,11,9,12,2010
questions about fences on a table saw,General Discussion,3,9,12,2010
Insects / Ammonia,General Discussion,15,9,12,2010
Want to talk about woodworking ?,General Discussion,24,9,12,2010
Freud Super Dado set  SD508,John White,3,9,12,2010
Readable Workshop Sign That Looks Woodworker Made,General Discussion,6,9,12,2010
Another Cabinet Saw question-powermatic 66 vs. newer steel city?,Power Tools and Machinery,3,9,12,2010
Heating options for 18' x 24' shop in Maryland,Workshop,13,8,12,2010
Jawhorse,General Discussion,5,8,12,2010
Vacuum Forms,You're The Expert,3,8,12,2010
Using DriCore as a Shop Floor,John White,4,8,12,2010
"Repair advice, 18th Cent piece",John White,13,8,12,2010
Thanks Gary Rogowski,General Discussion,8,8,12,2010
router bits,General Discussion,3,8,12,2010
Wood Thickness Before Hand Planing?,General Discussion,6,8,12,2010
Router table design,Workshop,31,7,12,2010
Curved frame and panel bar front,General Discussion,2,7,12,2010
workshop stools,Workshop,14,7,12,2010
Some novice questions,Turning and Carving,2,7,12,2010
Potassium dichromate over dyes?,Finishing,1,7,12,2010
Space saving router,John White,2,7,12,2010
line boring for shelving,"Jigs, Fixtures, Tips & Tricks",10,7,12,2010
Help! What is this piece of furniture?,General Discussion,4,7,12,2010
Lacquer finish on quilt armoire,Finishing,2,7,12,2010
Tearout prevention,Power Tools and Machinery,2,7,12,2010
Deleted,General Discussion,1,7,12,2010
Helical vs straight blade planers,Power Tools and Machinery,3,7,12,2010
GLUING EBONY,John White,1,7,12,2010
Blotchy Red Oak Stain,Finishing,3,6,12,2010
Powermatic PM 2000: how many amp breaker?,Power Tools and Machinery,3,6,12,2010
Chair legs not all flat to floor,General Discussion,7,5,12,2010
Cherry Table Top Replacement,General Discussion,2,5,12,2010
hand saws,Hand Tools,18,4,12,2010
New Woodworking Forum with old Knots Friends,General Discussion,21,4,12,2010
220 Volt Power Problem with Planer-Jointer,Workshop,7,4,12,2010
Staining Birch,Finishing,4,3,12,2010
Finishing cherry w/ walnut accents,Finishing,2,3,12,2010
Storing Wood,General Discussion,6,3,12,2010
Updating My e-mail Address,General Discussion,1,3,12,2010
Can you Cope ?,General Discussion,7,3,12,2010
Still trying to kill this forum?,General Discussion,57,3,12,2010
Sawstop Story on NPR,Power Tools and Machinery,18,3,12,2010
shoulder plane iron wider than body?,Hand Tools,1,3,12,2010
Woodworking Books,John White,4,2,12,2010
Flop down drawer front for computer keyboard drawer,General Discussion,7,2,12,2010
Shop-vac recommendations?,Workshop,6,2,12,2010
Motor Capacitor for Bandsaw --- Where to Find?,John White,5,2,12,2010
what to buy?,General Discussion,5,2,12,2010
Millers Falls & Wards Master Planes,Hand Tools,25,1,12,2010
3hp router vs 2hp,Power Tools and Machinery,8,1,12,2010
Insurance,Business,5,1,12,2010
Burnishing wood,Finishing,20,1,12,2010
Good Old Maloof Still Dependable,Finishing,5,1,12,2010
acoustic bass guitar plans,Project Plans/CAD Software,2,1,12,2010
rust removal/restoration,Hand Tools,2,1,12,2010
Space-Saving Router Table,John White,1,1,12,2010
Plano Clamping System?,Joinery,4,1,12,2010
RUMOR: Lataxe retired from woodworking,General Discussion,14,1,12,2010
Barnsley chest - timber selection,General Discussion,8,1,12,2010
Cutting a cylinder lenthwise,"Jigs, Fixtures, Tips & Tricks",3,1,12,2010
Lathe chuck questions,Power Tools and Machinery,2,30,11,2010
Redwood Slab Table,Joinery,12,30,11,2010
Festool domino vs dowels,Joinery,4,30,11,2010
Frank Lloyd Wright Taliesin Lamp,General Discussion,18,30,11,2010
Ryobi thicknesser drive chain,Power Tools and Machinery,2,30,11,2010
scrub plane,Hand Tools,3,29,11,2010
Router Lift needed with Triton?,John White,7,29,11,2010
Glue for laminating Outdoor wooden Arches,General Discussion,9,29,11,2010
sap wood,John White,3,29,11,2010
question about drawer knobs,General Discussion,1,29,11,2010
Novice needs help designing next prodject.,New To Woodworking,3,29,11,2010
best drawer guides,General Discussion,6,29,11,2010
sharpening moulding plane irons,Hand Tools,15,29,11,2010
Stanley 45...,Power Tools and Machinery,9,28,11,2010
Shellac Issue,Finishing,2,28,11,2010
Delta DJ30,John White,2,28,11,2010
Veneer and Ply question,Wood and Materials,5,27,11,2010
ddovetail joints in plywood or mdf,John White,5,27,11,2010
Iturra Design phone number??,General Discussion,4,27,11,2010
Elu #2721 router parts?,Power Tools and Machinery,2,27,11,2010
stanley block planes- thread sizes,Hand Tools,1,26,11,2010
OLD router question,Power Tools and Machinery,2,26,11,2010
table saws,Power Tools and Machinery,1,26,11,2010
Happy Thanksgiving.,General Discussion,5,26,11,2010
"Forum Restored, Some Functionality Still Impaired",General Discussion,10,25,11,2010
I would like some advice about finger/box joint sizes,Joinery,3,25,11,2010
In need of wheels for mobile chopping block table,Wood and Materials,2,24,11,2010
Circular saw blades,Power Tools and Machinery,3,24,11,2010
Performax motor question,Power Tools and Machinery,5,24,11,2010
"18"" Band Saw",Power Tools and Machinery,1,24,11,2010
Making Square and Round Bench Dogs & Hold Downs,"Jigs, Fixtures, Tips & Tricks",4,24,11,2010
Angle Heart Lumber,Wood and Materials,2,23,11,2010
Can use router bit to trim-cut solid aluminum bar?,Wood and Materials,8,23,11,2010
Weathering,Wood and Materials,3,23,11,2010
Pocket door retrofit?,General Discussion,6,23,11,2010
kitchen island,New To Woodworking,8,22,11,2010
replacement Sargent irons,Hand Tools,1,22,11,2010
Question for a friend of mine on seat back angle for a booth,General Discussion,2,22,11,2010
Table Design Questions,Ask the Experts Archive,5,21,11,2010
Remodeling kitchen with electric radiant heat in ceiling,General Discussion,3,21,11,2010
Craftsman Wet Sharp Machine,"Jigs, Fixtures, Tips & Tricks",9,21,11,2010
"inexpensive routers, East European market",Power Tools and Machinery,8,21,11,2010
120V Plug In Buzzer,Workshop,2,21,11,2010
Which compressor?,Power Tools and Machinery,5,19,11,2010
Maintaining ball bearings,Power Tools and Machinery,10,19,11,2010
learning SketchUp,SketchUp,7,18,11,2010
lacquer over poly,Finishing,0,18,11,2010
Gluing Redwood,Wood and Materials,4,18,11,2010
Sketchup plan purchased from Fine Woodworking Question,SketchUp,1,18,11,2010
Salad bowl repair,New To Woodworking,7,18,11,2010
Table top Finish,Finishing,2,18,11,2010
smoothing a wide back rail for chair,"Jigs, Fixtures, Tips & Tricks",15,17,11,2010
allowing for expansion,Ask the Experts Archive,2,17,11,2010
Recommended high quality paint finish on MDF?,Finishing,3,17,11,2010
Help with curved legs getting the grain correct,General Discussion,3,17,11,2010
White splotches after stripper used.,Finishing,6,17,11,2010
Looking for wood-western Pa,Wood and Materials,2,16,11,2010
brusso hinges/no template,General Discussion,2,16,11,2010
Looking for Rosewood Plugs,Wood and Materials,2,16,11,2010
Match VG Fir Sap to Heart,Finishing,3,15,11,2010
Lap Desk in SketchUp,SketchUp,2,15,11,2010
Sliding dovetail questions,Joinery,3,15,11,2010
A Water Based Lacquer Equivalent?,Finishing,3,15,11,2010
DeWalt Miter saw fence.,Power Tools and Machinery,4,15,11,2010
Bandsaw Issues,John White,3,14,11,2010
Plung Router,Power Tools and Machinery,1,14,11,2010
"CustomMade.com Ready Now, Cheap Imports?",Business,1,14,11,2010
Plaster of Paris as a Grain Filler,Finishing,9,14,11,2010
"3/8"" or 1/2"" veneered plywood panels on shaker doors",General Discussion,8,14,11,2010
FWW 209 - Shop Flooring - DriCore,Workshop,4,14,11,2010
Finishing for Non-Professionals,Finishing,1,14,11,2010
frog adjustment screw?,Hand Tools,3,13,11,2010
Redwood Slab Coffee Table,New To Woodworking,13,13,11,2010
Uses for leftover LVL scraps,General Discussion,1,12,11,2010
Something you should see!,General Discussion,1,12,11,2010
Rabbets for plywood,Joinery,9,12,11,2010
How Would you build this (joinery?),Project Plans/CAD Software,3,12,11,2010
"Helmsman Spar Varnish, UV blockers?",Finishing,3,12,11,2010
Knots Vets,General Discussion,4,12,11,2010
"WoodBuzz.net - a media rich, social community",General Discussion,1,12,11,2010
Thicknessing with handplanes?,Hand Tools,32,12,11,2010
Keeping Glue From Sticking to Clamping Cauls,General Discussion,7,12,11,2010
what goes with Wamara,Wood and Materials,3,12,11,2010
Problems turning long post,Turning and Carving,4,12,11,2010
spokeshaves and 50 degree low angle blades,General Discussion,2,11,11,2010
Cut the Cord?,General Discussion,10,11,11,2010
Cove panel covered with cane. Anyone done this?,Wood and Materials,1,11,11,2010
A Toolbox AND a Work Surface?,Hand Tools,8,11,11,2010
Basic Geometry?,General Discussion,7,11,11,2010
Kitchen island top,General Discussion,8,10,11,2010
Woodpecker Sidewinder,General Discussion,1,10,11,2010
Rikon..... dont wast eyour money,Power Tools and Machinery,7,10,11,2010
"5⅝"" square",General Discussion,15,10,11,2010
Nice Looking Lid Supports?,General Discussion,2,10,11,2010
Removable hinge pins,General Discussion,1,9,11,2010
Repairing a finish,General Discussion,3,9,11,2010
granite top table saw has miter slots that are different widths. what are the acceptable tolerances?,John White,1,9,11,2010
damaged Delta DJ 20 jointer,Power Tools and Machinery,1,9,11,2010
Bandsaw guides,Power Tools and Machinery,5,9,11,2010
Router plate modifications for Space-Saving Router Table,John White,1,9,11,2010
Google SketchUp Question,SketchUp,1,9,11,2010
working with images,SketchUp,1,9,11,2010
How Tight to Saw Dovetails and Pins,General Discussion,20,9,11,2010
Advice on transporting large amount of lumber,General Discussion,9,9,11,2010
dust collection tubing,Power Tools and Machinery,14,9,11,2010
Router Profile,General Discussion,1,9,11,2010
Dust collection from a miter saw,John White,3,8,11,2010
windows 7,General Discussion,1,8,11,2010
Good temporary marking device for finished surfaces,"Jigs, Fixtures, Tips & Tricks",11,8,11,2010
Gabardi & Sons Coffin Smoother,Hand Tools,2,8,11,2010
toothpicks for chair repairs,General Discussion,38,8,11,2010
How are you going to heat your shop this year?,General Discussion,8,7,11,2010
Redwood Slab,Finishing,14,7,11,2010
Need a brand and name for a polishing compound.,Finishing,9,7,11,2010
Material thickness for FWW #216 router table,John White,1,7,11,2010
Wrap around floating bench in a breakfast nook,General Discussion,2,7,11,2010
West System vs System Three,General Discussion,8,6,11,2010
Crib Safety Modification,John White,6,6,11,2010
granite countertop overhang support,General Discussion,8,6,11,2010
"Nancy Hiller, polyurethane over amber shellac?",Finishing,7,5,11,2010
Ebonizing Ash?,Finishing,1,5,11,2010
tablesaw ignorance,Power Tools and Machinery,7,5,11,2010
Jig Ideas for Stool,"Jigs, Fixtures, Tips & Tricks",6,5,11,2010
Beaded Drawers,Joinery,7,5,11,2010
Tage Frid Workbench,Business,19,5,11,2010
"10"" Miter Saws What do I buy?",Power Tools and Machinery,1,4,11,2010
Need Benchtop mortiser.,Power Tools and Machinery,6,4,11,2010
Shelf stiffeners,General Discussion,12,4,11,2010
Attaching solid wood drawer fronts to plywood drawer boxes,General Discussion,1,4,11,2010
Any recommendations on a sharpening system?,Workshop,4,4,11,2010
coopered cope and stick,General Discussion,1,4,11,2010
Seth Thomas Clock,General Discussion,1,3,11,2010
Air Dried Ambrosia Maple,Wood and Materials,1,3,11,2010
comparison of grizzly and jet mid range lathes,Power Tools and Machinery,1,3,11,2010
miter saw blade problem,Power Tools and Machinery,5,3,11,2010
Coplanar Surface Model Challenge,SketchUp,2,3,11,2010
Which router bit I need,General Discussion,2,2,11,2010
Delta 46-460 Lathe,Turning and Carving,1,2,11,2010
Freud Panel bits,Power Tools and Machinery,1,2,11,2010
figuring out kitchen cabinet sq footage for redo,General Discussion,2,2,11,2010
veneer,General Discussion,3,2,11,2010
No more religious discussions in Knots,General Discussion,41,2,11,2010
Desk project complete.,General Discussion,1,2,11,2010
How would you proceed?,General Discussion,9,2,11,2010
Dinning Room Chair Corner Blocks,General Discussion,5,2,11,2010
Jointer & planer blade wear.,Power Tools and Machinery,1,1,11,2010
Sliding Doors,General Discussion,1,1,11,2010
10 in Bandsaws,General Discussion,9,31,10,2010
New blade for bedrock 604,General Discussion,2,31,10,2010
help on shop outles and another question,Workshop,20,31,10,2010
Steamed European Beech,Finishing,3,30,10,2010
lock miter,Power Tools and Machinery,2,29,10,2010
Extension table sliders,General Discussion,1,28,10,2010
